location,place,state,location_rating,age,season,types_of_travel,religion,itemId,travel_type_any,travel_type_family,travel_type_friends,travel_type_solo,religion_any,religion_buddist,religion_christian,religion_hindus,religion_jain,religion_muslim,religion_sikhs,season_any,season_autumn,season_rainy,season_spring,season_summer,season_winter,Category
Bhoramdeo Temple,"Chaura village, Kawardha town", chhattisgarh,4,0,winter,family,hindus,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Pilgrimage
  maitri bagh,"Near to Maroda, Bhilai",chhattisgarh,4,20,any,friends,any,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
Tirathgarh Falls,Bastar district,chhattisgarh,4.6,25,rainy,friends,any,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Waterfalls
Sirpur Heritage Site,bank of holy Mahanadi river,chhattisgarh,5,0,winter,family,hindus,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Pilgrimage
Rajeev Smriti Van,Raipur,chhattisgarh,3.9,0,any,solo,any,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0, Park
Palolem Beach,Canacona,Goa,5,22,spring,friends,any,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Water
Calangute beach,North Goaalangute beach,Goa,4.4,0,rainy,friends,any,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Water
Fort Aguada,Candolim,Goa,4.2,0,rainy,any,any,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Historic
Chapora Fort,Vagato,Goa,4.3,35,rainy,family,any,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Historic
Basilica de Bom Jesus,Bainguinim,Goa,4.5,0,summer,family,christian,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Pilgrimage
dudhsagar-falls,�Mandovi River�,Goa,4.6,18,winter,friends,any,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Waterfalls
Reis Magos Fort Arpora Night Market,Arpora,Goa,4.2,0,any,family,any,12,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
Deltin Royale Casino,Panaji,Goa,4.3,20,autumn,friends,any,13,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Water
Naval Aviation Museum,Vasco da Gama,Goa,4.5,24,spring,friends,any,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Museum
Champaner-Pavagadh Archaeological Park,�Panchmahal,Gujarat,4.4,0,any,any,any,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Park
Konark Sun Temple,Konark,Gujarat,4.6,0,spring,family,hindus,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Pilgrimage
Polo Forest,Gujarat,Gujarat,4.3,15,rainy,friends,any,18,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Park
Dwarka,Gujarat,Gujarat,4.2,0,winter,family,hindus,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Pilgrimage
Somnath,Veraval,Gujarat,4.8,35,winter,family,hindus,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Pilgrimage
Gir National Park,Gujarat,Gujarat,4.2,11,winter,friends,any,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Rann Of Kutch,Kutch,Gujarat,4.5,22,winter,friends,any,22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Desert
Makarpura Palace,Vadodara,Gujarat,4,0,summer,family,any,23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Historic
EME Temple,Gujarat,Gujarat,4.7,30,rainy,family,hindus,24,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Pilgrimage
Brahma Sarovar,kurukshetra,Harayana,4.7,0,autumn,family,hindus,25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Pilgrimage
Kabuli Bagh Mosque,Panipat,Harayana,4,0,any,any,muslim,26,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Pilgrimage
Holy Redeemer Church,Ambala,Harayana,4.6,0,any,any,christian,27,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Pilgrimage
Sultanpur Bird Sanctuary,Harayana,Harayana,4.1,0,winter,friends,any,28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Leisure Valley Park,Gurgaon,Harayana,4.7,10,any,any,any,29,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Park
Kingdom of Dreams,Harayana,Harayana,4.5,0,any,any,any,30,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Park
Jatmai Temple,Raipur,chhattisgarh,4.5,0,rainy,family,hindus,31,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Pilgrimage
Nandan Van Zoo,�Atari,chhattisgarh,3.9,25,any,friends,any,32,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
Ghatarani Waterfalls,Raipur,chhattisgarh,4.3,22,summer,friends,any,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Waterfalls
MM Fun City,�Arang,chhattisgarh,4.1,25,any,friends,any,34,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Park
Solang Valley,Manali,Himachal pradesh,4,40,any,any,any,35,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Valley
jakhu temple,shimla,Himachal pradesh,4.5,0,any,any,hindus,36,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Beas River,central Himachal pradesh,Himachal pradesh,4.5,20,any,any,any,37,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
Manikaran Gurudwara,Kullu ,Himachal pradesh,4.5,0,any,any,any,38,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Jogini Waterfall,Manali,Himachal pradesh,4.5,0,any,any,any,39,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Waterfalls
Spiti valley,Lahaul,Himachal pradesh,5,0,any,any,any,40,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Desert
Hidimba Devi Temple,Manali,Himachal pradesh,4.5,0,any,any,hindus,41,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Triund Hill,Kangra,Himachal pradesh,4.5,20,any,any,any,42,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Hill Station
Tirthan Valley,Kullu ,Himachal pradesh,5,20,any,any,any,43,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Valley
Prashar lake,Mandi,Himachal pradesh,4.5,0,any,any,any,44,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
Bhagus Waterfall,Dharamshala,Himachal pradesh,5,20,summer,any,any,45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Waterfalls
Masroor Rock Cut temple,Lahalpur,Himachal pradesh,4.5,0,any,any,hindus,46,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Barot valley,Mandi,Himachal pradesh,4.5,20,any,any,any,47,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Valley
parvathi valley,Kullu ,Himachal pradesh,4.5,20,any,any,any,48,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Valley
Dal Lake,Srinagar,Jammu & Kashmir,4.5,0,any,any,any,49,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
Vaishnavo Devi Mandir,Trikuta hills,Jammu & Kashmir,4.5,0,any,any,hindus,50,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Gulmarg,Gulmarg,Jammu & Kashmir,4.5,20,any,any,any,51,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Hill Station
Pahalgam,Anantnag,Jammu & Kashmir,4.5,20,any,any,any,52,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Valley
Amarnath,Anantnag,Jammu & Kashmir,4.5,20,any,any,hindus,53,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Nubra Valley,Ladakh,Jammu & Kashmir,5,0,rainy,any,any,54,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Valley
Sonamarg,Ganderbal,Jammu & Kashmir,4.5,0,any,any,any,55,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Hill Station
Jammu,Jammu,Jammu & Kashmir,4,20,any,any,any,56,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Hill Station
Lamayur,Leh,Jammu & Kashmir,4.5,20,summer,any,any,57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Pilgrimage
Deoghar temple,Deoghar,Jharkhand,4.5,0,any,any,hindus,58,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Jamshedpur,Jamshedpur,Jharkhand,4,0,any,any,any,59,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Industrail
Ghatshila,singhbhum,Jharkhand,4.2,0,any,any,any,60,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Industrail
dasham falls,Ranchi,Jharkhand,3.5,0,any,any,any,61,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Waterfalls
Netarhat,Latehar,Jharkhand,4,0,any,any,any,62,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Hill Station
hazaribagh,chhota nagpur,Jharkhand,4.5,0,any,any,any,63,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
Banglore,Banglore,Karnataka,4,0,any,any,any,65,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Pilgrimage
mysore,mysore,Karnataka,4.5,0,any,any,any,66,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Chikmagalur,Mullayagiri,Karnataka,4.5,0,any,any,any,67,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Waterfalls
hampi,Vijayanagara,Karnataka,4.5,0,any,any,hindus,68,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
udupi,udipi,Karnataka,4.5,0,any,any,any,69,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Pilgramage
Murudeshwar,uttar kannada,Karnataka,4.5,0,any,any,hindus,70,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
gokarna,uttar kannada,Karnataka,4.5,0,any,any,hindus,71,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Dandiel,uttar kannada,Karnataka,4,20,any,any,any,72,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
jog falls,Shivamogga,Karnataka,4.5,20,any,any,any,73,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Waterfalls
shravanabelagola,Hassan,Karnataka,4.5,0,any,any,jain,74,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Historic
pattadakal,Bagalkot,Karnataka,4.5,0,any,any,any,75,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
nandi hills,Banglore,Karnataka,4,0,any,any,any,76,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Pilgrimage
bijapur,bijapur,Karnataka,4.5,0,any,any,any,77,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Kemmanagundi,chikamagaluru,Karnataka,4.5,0,any,any,any,78,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Valley
manglore,dakshina kannada,Karnataka,4.5,0,any,any,any,79,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Pilgrimage
Dharmasthala,dakshina kannada,Karnataka,4.5,0,any,any,any,80,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Pilgrimage
Kodanad,Ernakulam,Kerala,4.1,25,spring,family,any,81,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Wildlife
Thodupuzha,Idukki ,Kerala,4,25,rainy,family,any,82,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Water
Kattappana,Idukki ,Kerala,3.9,20,any,family,any,83,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
Paravur,Kollam,Kerala,4.3,20,autumn,any,any,84,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Parunthumpara,Idukki ,Kerala,4.2,20,any,any,any,85,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Marayoor,Idukki ,Kerala,3.6,20,winter,any,any,86,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Valley
Anamudi,Idukki ,Kerala,4.4,20,winter,any,any,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Hill Station
Chinnar Wildlife Sanctuary ,munnar,Kerala,4.3,20,winter,any,any,88,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Valara Waterfalls,munnar,Kerala,4.2,25,autumn,any,any,89,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Waterfalls
Top station ,munnar,Kerala,4.2,25,winter,any,any,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Hill Station
Alleppey Beach,alappuzha,Kerala,4.4,25,spring,any,any,91,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Water
Krishnapuram palace,kayamkulam,Kerala,4,25,winter,any,any,92,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Historic
Gwalior,Near Agra,Madhya Pradesh ,4.3,35,autumn,family,any,93,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Khajuraho,Chhatarpur district ,Madhya Pradesh ,4.2,30,autumn,family,hindus,94,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Pilgrimage
Orchha,Jhansi,Madhya Pradesh ,3.9,25,autumn,any,any,95,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Bandhavgarh National Park,Jabalpur,Madhya Pradesh ,4,25,autumn,any,any,96,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Sanchi,Bhopal,Madhya Pradesh ,4,30,rainy,family,buddist,97,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Historic
Pachmarhi,Bhopal ,Madhya Pradesh ,4.2,25,autumn,any,any,98,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Hill Station
Kanha National Park,jabalpur,Madhya Pradesh ,4.4,20,autumn,any,any,99,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Pench National Park,Nagpur,Madhya Pradesh ,4.5,20,autumn,any,any,100,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Bhimbetka,Bhopal ,Madhya Pradesh ,4.7,30,rainy,any,hindus,101,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Historic
Panna National Park,"Gwalior,Bhopal ",Madhya Pradesh ,4.8,20,autumn,any,any,102,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Bhopal,Bhopal,Madhya Pradesh ,5,20,rainy,any,any,103,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Water
Omkareshwar,indore,Madhya Pradesh ,5,35,autumn,family,hindus,104,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Pilgrimage
Ujjain,indore,Madhya Pradesh ,5,30,autumn,family,hindus,105,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Pilgrimage
Mumbai ,Mumbai ,Maharashtra ,5,20,autumn,any,any,106,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Industrail
Ajanta Caves,Aurangabad,Maharashtra ,4.2,30,autumn,any,any,107,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Lonavala,pune,Maharashtra ,4,25,autumn,any,any,108,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Hill Station
Mahabaleshwar,"pune,Mumbai ",Maharashtra ,4.3,20,autumn,any,any,109,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Pilgrimage
Shirdi,"Mumbai, pune",Maharashtra ,5,15,autumn,family,hindus,110,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Pilgrimage
ellora caves,aurangabad ,Maharashtra ,4.5,20,autumn,any,any,111,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Panchgani,pune,Maharashtra ,4.2,25,autumn,any,any,112,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Hill Station
Aurangabad ,mumbai,Maharashtra ,4.9,30,autumn,any,any,113,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Nashik,Mumbai ,Maharashtra ,4.9,30,autumn,any,any,114,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Pilgrimage
Ratnagiri,Mumbai ,Maharashtra ,4.8,25,autumn,family,any,115,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Pune,pune,Maharashtra ,5,20,autumn,any,any,116,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Industrail
Imphal,Manipur ,Manipur,2.6,30,autumn,any,any,117,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Valley
Thoubal,Manipur ,Manipur,3.4,30,autumn,any,any,118,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Valley
Tamenglong,Manipur ,Manipur,3.1,25,autumn,any,any,119,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Chandel,Manipur ,Manipur,3.8,30,autumn,any,any,120,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Loktak Lake and Sendra Island,Imphal ,Manipur,3.6,35,autumn,any,any,121,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Water
Moirang,Manipur ,Manipur,3.5,30,autumn,any,any,122,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Water
Keibul Lamjao National Park,Bishnupur,Manipur,4.3,30,winter,family,any,123,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Kangla Fort,Imphal,Manipur,4.3,0,any,any,any,124,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Shri Shri Govindaji Temple,Imphal,Manipur,4.2,35,any,family,hindus,125,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Manipur State Museum,Imphal,Manipur,4,25,any,family,any,126,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
Shirui kashong (peak),Ukhrul,Manipur,4.5,27,any,friends,any,127,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Hill Station
RKCS Art Gallery And Museum,Imphal,Manipur,4.4,20,any,family,any,128,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
Khongjom War Memorial Complex,Thoubal,Manipur,4.4,10,rainy,friends,any,129,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Historic
Loukoi Pat,Imphal,Manipur,3.9,27,rainy,solo,any,130,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Park
Shirui Kashong,Ukhrul,Manipur,4.6,22,summer,friends,any,131,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Hill Station
Singda Dam,Imphal,Manipur,4.2,22,winter,friends,any,132,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Waterfalls
NohKaLikai Falls,Cherrapunji,Meghalaya,4.7,25,winter,any,any,133,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Waterfalls
Umiam Lake,Shillong,Meghalaya,4.5,24,rainy,friends,any,134,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Water
Elephant Falls,Shillong,Meghalaya,4.4,23,rainy,friends,any,135,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Waterfalls
Balpakram National Park,Garo Hills,Meghalaya,4.2,13,winter,solo,any,136,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Nokrek National Park,Garo Hills,Meghalaya,4.2,15,any,friends,any,137,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
Ward's Lake,Shillong,Meghalaya,4.4,20,rainy,solo,any,138,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Water
Double Decker Living Root Bridge,Cherrapunji,Meghalaya,4.7,35,rainy,solo,any,139,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Water
"Shillong View Point, Laitkor Peak",Shillong,Meghalaya,4.4,23,summer,friends,any,140,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Hill Station
Don Bosco Museum,Shillong,Meghalaya,4.4,10,any,family,christian,141,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Museum
Laitlum Canyon,Shillong,Meghalaya,4.7,21,winter,friends,any,142,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Hill Station
Vantawng Falls,Serchhip,Mizoram,4.1,26,winter,friends,any,143,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Waterfalls
