location,place,state,location_rating,age,season,types_of_travel,religion,itemId,travel_type_any,travel_type_family,travel_type_friends,travel_type_solo,religion_any,religion_buddist,religion_christian,religion_hindus,religion_jain,religion_muslim,religion_sikhs,season_any,season_autumn,season_rainy,season_spring,season_summer,season_winter,Category
Tam Dil,Saitual,Mizoram,4.4,19,winter,family,any,144,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Water
Tropic of Cancer - Mizoram,Aizwal,Mizoram,4.3,28,winter,family,any,145,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Historic
Phawngpui National Park,Lawngtlai,Mizoram,4.2,16,any,family,any,146,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
Dampa Tiger Reserve Sanctuary,Aizwal,Mizoram,3.8,15,winter,family,any,147,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Mizoram State Museum,Aizwal,Mizoram,4.1,18,winter,friends,any,148,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Museum
Reiek,Aizwal,Mizoram,4.5,25,winter,friends,any,149,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Hill Station
Murlen National Park,Champhai,Mizoram,4.3,20,winter,family,any,150,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Palak Lake,Saiha,Mizoram,4.1,21,winter,solo,any,151,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Water
Tuirihiau falls,Serchhip,Mizoram,4.4,24,winter,friends,any,152,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Waterfalls
Intanki National Park,Peren,Nagaland,4,13,winter,family,any,153,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Kohima War Cemetery,Kohima,Nagaland,4.2,40,any,family,any,154,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Nagaland State Museum,Kohima,Nagaland,3.8,35,any,family,any,155,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
Naga Heritage Village,Kohima,Nagaland,4.5,28,winter,family,any,156,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Pilgrimage
Kachari Ruins,Dimapur,Nagaland,4.2,32,any,family,any,157,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Shilloi Lake,Phek,Nagaland,4.3,25,rainy,friends,any,158,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Water
Puliebadze WildLife Sanctuary,Jotsoma,Nagaland,4.4,26,winter,friends,any,159,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Wildlife
Nagaland Zoological Park,Dimapur,Nagaland,3.7,13,any,family,any,160,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
Dzuleke,Kohima,Nagaland,4.5,23,winter,friends,any,161,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Hill Station
Kohima Cathedral Church,Kohima,Nagaland,4.6,45,any,family,christian,162,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Pilgrimage
nohkalikai falls,cherrapunji,meghalaya,4.7,0,summer,any,any,163,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Waterfalls
umiam lake,shillong,meghalaya,4.5,0,any,friends,any,164,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
elephant falls,shillong,meghalaya,4.4,0,summer,any,any,165,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Waterfalls
double descker living roots bridge,cherrapunji,meghalaya,4.8,15,any,friends,any,166,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
balpakram national park,garo hills,meghalaya,4.2,0,any,any,any,167,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
tropic of cancer,mizoram,mizoram,4.3,0,any,friends,any,168,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
mizoram state museum,aizawl,mizoram,4.1,0,any,family,any,169,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
solomon's temple,aizawl,mizoram,4.4,0,any,family,christian,170,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Pilgrimage
lushai hills,patkai,mizoram,4.4,20,spring,friends,any,171,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Hill Station
folkland park,aizawl,mizoram,4.2,0,any,family,any,172,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Park
kohima war cemetery,kohima,nagaland,4.2,0,summer,solo,any,173,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Historic
dimapur Ao baptist church,dimapur,nagaland,4.6,0,any,family,christian,174,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Pilgrimage
dzukou valley trek,dzukou ,nagaland,4.8,20,summer,friends,any,175,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Valley
kalibari temple,dimapur,nagaland,4.8,0,spring,family,hindus,176,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Pilgrimage
triple falls seithekema,dimapur,nagaland,4.5,20,summer,solo,any,177,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Waterfalls
konark sun temple ,konark,odisha,4.6,0,spring,family,hindus,178,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Pilgrimage
shri jagannath temple ,puri,odisha,4.7,0,summer,family,hindus,179,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Pilgrimage
similipal national park,bhanjpur,odisha,4.3,0,any,any,any,180,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
golden beach,puri,odisha,4.5,15,summer,friends,any,181,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Water
mukteswara temple ,bhudaneswar,odisha,4.6,0,any,family,hindus,182,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
nandankanan zoological park,bhudaneswar,odisha,4.4,0,any,any,any,183,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
udaygiri and khandagiri caves,bhudaneswar,odisha,4.4,20,any,friends,any,184,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
lingaraja temple,bhudaneswar,odisha,4.6,0,summer,family,hindus,185,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Pilgrimage
hirakud dam,hirakund,odisha,4.2,20,spring,friends,any,186,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Waterfalls
nagaland state museum,bayavu hills,nagaland,3.8,0,any,any,any,187,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
naga heritage village,naga,nagaland,4.5,0,any,solo,any,188,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Pilgrimage
shilloi lake,lustam village,nagaland,4.3,10,any,friends,any,189,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
mount saramati,burma,nagaland,4.2,20,spring,solo,any,190,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Hill Station
ntanki national park,peren,nagaland,4,0,any,any,any,191,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
 tam dil lake,aizawl,mizoram,4.4,20,summer,friends,any,192,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Water
dampa tiger reserve ,western mizoram,mizoram,3.9,15,any,any,any,193,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
mizoram science centre,zarkawt ,mizoram,4.1,0,any,friends,any,194,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Industrail
khawhpawp water falls ,aizawl,mizoram,4,20,spring,solo,any,195,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Waterfalls
pushpak gurudwara,aizawl,mizoram,4.1,0,any,family,hindus,196,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
kyllang rock ,khasi hills ,meghalaya,4.2,20,any,solo,any,197,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
baghmara,baghmara,meghalaya,4,0,any,friends,any,198,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
ward's lake,shillong,meghalaya,4.4,20,any,friends,any,199,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
nokrek national park,tura,meghalaya,4.2,0,any,family,any,200,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
don bosco museum,shillong,meghalaya,4.4,0,any,any,any,201,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
Ujjyanta Palace,Agartala,Tripura,4.6,20,any,any,any,202,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Heritage Park,Agartala,Tripura,4.2,25,any,any,any,203,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Park
Haveli Museum,Agartala,Tripura,3.9,30,any,any,any,204,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
Jagannath Bari,Agartala,Tripura,4.4,35,winter,family,hindus,205,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Pilgrimage
Tripureshwari Temple,Udaipur,Tripura,4.7,35,any,any,hindus,206,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Kalyan Sagar,Udaipur,Tripura,4.4,20,summer,any,any,207,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Pilgrimage
Rowa Wildlife Sanctuary ,Dharmanagar,Tripura,3.5,15,summer,any,any,208,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Wildlife
Unakoti,Kailashahar,Tripura,4.5,35,any,family,hindus,209,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Historic
Trishna Wild Life,Belonia,Tripura,3.9,15,summer,friends,any,210,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Wildlife
Rajbari National Park,Belonia,Tripura,5,20,any,friends,any,211,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
golconda fort ,hyderabad,telangana,4.4,0,spring,any,any,212,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Historic
charminar,hyderabad,telangana,4.4,0,spring,any,any,213,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Historic
ramoji film city,hyderabad,telangana,4.4,0,any,any,any,214,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Industrail
salar jung museum,hyderabad,telangana,4.4,0,any,any,any,215,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
hussain sagar,hyderabad,telangana,4.3,0,summer,any,any,216,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Water
birla mandir,hyderabad,telangana,4.6,0,any,family,hindus,217,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
mecca masjid,hyderabad,telangana,4.7,0,any,family,muslim,218,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Pilgrimage
qutb shahi tombs,hyderabad,telangana,4.4,0,any,any,any,219,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
chilkur balaji temple,chilkur,telangana,4.3,0,any,family,hindus,220,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
thousand pillar temple,warangal,telangana,4.5,0,spring,family,hindus,221,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Pilgrimage
Taj Mahal,Agra,Uttar Pradesh,4.6,0,any,any,any,222,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Noida,Noida,Uttar Pradesh,4,25,autumn,any,any,223,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Industrail
Jhansi,Jhansi,Uttar Pradesh,4,15,any,any,any,224,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Kashi Viswanath Temple,varanasi,Uttar Pradesh,4.5,45,any,family,hindus,225,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Vrindavan,Vrindavan,Uttar Pradesh,4.2,30,any,any,hindus,226,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Lucknow,Locknow,Uttar Pradesh,4.1,0,winter,any,any,227,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Historic
Ayodhya,Ayodhya,Uttar Pradesh,4.2,30,autumn,any,hindus,228,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Historic
Hastinapur,Hastinapur,Uttar Pradesh,4.6,25,autumn,any,hindus,229,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Historic
Kanpur,Kanpur,Uttar Pradesh,4.8,30,any,any,any,230,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Prayagraj,Allahabad,Uttarpradesh,4.1,30,any,any,hindus,231,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Industrail
Fatehpur Sikri,Agra,Uttar Pradesh,4.6,30,any,any,any,232,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Sree Venkateswara Swamy Temple,Tirupathi,Andhra Pradesh,4.8,40,any,any,hindus,233,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Araku,Vizag,Andhra Pradesh,4.2,0,autumn,any,any,234,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Valley
Horsley Hills,Madanapalle,Andhra Pradesh,4,0,autumn,any,any,235,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Hill Station
Sri Raghavendra Swamy Mutt,Mantralaya,Andhra Pradesh,4.7,40,any,any,hindus,236,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pilgrimage
Talakona Waterfalls,tirupathi,Andhra Pradesh,4.4,12,autumn,any,any,237,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Waterfalls
Borra Caves,Araku,Andhra Pradesh,4.5,15,any,any,any,238,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Bheemili Beach,Vizag,Andhra Pradesh,4.3,7,autumn,any,any,239,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Water
Srisailam Dam,Srisailam,Andhra Pradesh,4.7,20,autumn,any,any,240,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Waterfalls
Pulicat Lake and Sanctuary,Sullurpet,Andhra Pradesh,4,10,autumn,any,any,241,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Water
SHAR,Srihari Kota,Andhra Pradesh,4.7,0,any,any,any,242,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Industrail
Papikondalu,Rajahmundry,Andhra Pradesh,4.4,0,autumn,any,any,243,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Waterfalls
Yaganti Temple,Yaganti,Andhra Pradesh,4.6,30,autumn,any,hindus,244,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Pilgrimage
Indira Gandhi Zoological Park,Visakhapatnam,Andhra Pradesh,4.1,0,autumn,any,any,245,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Chandragiri Fort,Chandragiri,Andhra Pradesh,4.2,0,any,any,any,246,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Namdapha National Park,Namdaph,Arunachal Pradesh,4.3,15,any,any,any,247,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
Tawang,Tawang,Arunachal Pradesh,4.7,0,summer,any,any,248,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Pilgrimage
Sela Pass,Tawang,Arunachal Pradesh,4.8,0,autumn,any,any,249,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Pilgrimage
Ziro Valley,Ziro,Arunachal Pradesh,4.8,20,summer,any,any,250,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Valley
Tezu,Lohit,Arunachal Pradesh,4.1,20,winter,any,buddist,251,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Valley
Roing,Roing,Arunachal Pradesh,4.1,0,autumn,any,any,252,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Valley
Bomdila,West Kameng,Arunachal Pradesh,4.7,30,summer,family,any,253,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Hill Station
Dirang Valley,Dirang ,Arunachal Pradesh,4.9,20,summer,any,any,254,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Valley
Pasi Ghat,East Siang,Arunachal Pradesh,3.9,20,spring,any,any,255,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Water
Itanagar,Itanagar,Arunachal Pradesh,4,0,autumn,any,any,256,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Pilgrimage
Aalo,West Siang,Arunachal Pradesh,3.8,25,autumn,any,any,257,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Valley
Nuranang Falls,Tawang,Arunachal Pradesh,4.3,25,rainy,any,any,258,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Waterfalls
Bhalukpong,West Kameng,Arunachal Pradesh,4.4,0,autumn,any,any,259,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic 
Sangti,Dirang ,Arunachal Pradesh,4,0,rainy,any,any,260,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Valley
Changlang,Changlang,Arunachal Pradesh,4.5,25,autumn,any,any,261,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Kaziranga National Park,Guwahati,Assam,3.9,25,autumn,any,any,262,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Manas National Park,Gobardhana,Assam,3.8,20,autumn,any,any,263,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Wildlife
Kamakhya Temple,kamakhya,Assam,4.5,30,autumn,family,hindus,264,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Pilgrimage
Majuli Island,Majuli,Assam,4.7,0,autumn,any,any,265,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Water
Kakochang Waterfalls,Kakochang ,Assam,4.5,0,autumn,any,any,266,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Waterfalls
Tocklai Tea Research Centre,Jorhat,Assam,4.5,25,any,any,any,267,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Industrail
Guwahati Planetarium,Guwahati,Assam,4.3,20,any,any,any,268,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Industrail
Hajo,Guwahati,Assam,4,30,autumn,any,any,269,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Pilgrimage
Padam Pukhuri,Tezpur,Assam,4,20,any,any,any,270,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
Haflong Hills,Haflong,Assam,4.2,25,autumn,any,any,271,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Hill Station
Dibrugarh,Dibrugarh,Assam,4.4,25,autumn,any,any,272,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Historic
Tinsukia,Tinsukia,Assam,3.9,0,autumn,any,any,273,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Industrail
Dispur,Dispur,Assam,4,0,any,any,any,274,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Amaravathi,Guntur,Andhra Pradesh,4.1,0,any,any,any,275,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Pilgrimage
Bodh Gaya,Gaya,Bihar,4.3,20,autumn,any,buddist,276,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Pilgrimage
Patna,Patna,Bihar,4.2,25,autumn,any,sikhs,277,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Pilgrimage
Nalanda,Nalanda,Bihar,4.2,0,autumn,any,buddist,278,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Historic
Vaishali,Patna,Bihar,4.4,30,autumn,any,any,279,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Pilgrimage
Madhubani,Darbhanga,Bihar,4,30,autumn,any,any,280,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Pilgrimage
Muzaffarpur,Muzaffarpur,Bihar,3.9,25,any,any,any,281,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Historic
Bhugalpur,Bhagulpur,Bihar,4.2,0,autumn,any,any,282,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Industrail
Hot Spring,Rajgir,Bihar,4.5,0,rainy,any,any,283,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Historic
Jal Mandir,Pawapuri,Bihar,4.1,30,rainy,any,jain,284,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Pilgrimage
Hajipur,Hajipur,Bihar,3.9,25,any,any,any,285,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Industrail
 Karkat Waterfall,Karkathgarh,Bihar,4.5,20,rainy,friends,any,286,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Waterfalls
Dhungeswari hills,Larpur,Bihar,4,20,any,any,buddist,287,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Hill Station
Patna Musuem,Patna,Bihar,4.3,0,any,any,any,288,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Museum
